=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.08.23 13:08:06 =~=~=~=~=~=~=~=~=~=~=~=
730 0.056012, 0.043793, 1805, 1417
83, 0.556989, 2.218768, 1805, 1415
121, 0.214858, 1.119062, 1805, 1415
159, 0.080450, 0.459238, 1805, 1415
198, 0.019355, 0.141544, 1805, 1415
261, 0.056012, 0.019355, 1807, 1418
0, 5.151319, 5.126882, 1805, 1415
22, 5.114663, 5.163538, 1805, 1415
32, 1.839981, 5.126882, 1805, 1415
42, 1.339003, 3.648386, 1807, 1418
82, 0.556989, 2.206549, 1805, 1415
119, 0.214858, 1.119062, 1807, 1416
156, 0.080450, 0.447019, 1807, 1416
195, 0.043793, 0.104888, 1807, 1416
355, 0.007136, 0.019355, 1807, 1416
0, 5.175757, 5.151319, 1805, 1415
23, 2.646432, 5.187976, 1807, 1418
33, 2.157674, 5.151319, 1803, 1411
42, 1.339003, 3.648386, 1807, 1418
82, 0.556989, 2.230987, 1805, 1415
120, 0.227077, 1.119062, 1805, 1415
157, 0.080450, 0.459238, 1805, 1417
198, 0.043793, 0.117107, 1805, 1415
284, 0.007136, 0.019355, 1807, 1416
4760, 0.043793, 0.056012, 1805, 1415
5101, 0.007136, 0.019355, 1807, 1416
5129, 0.043793, 0.056012, 1805, 1417
